키워드,남성(%),여성(%),연령대별 특성,12세 이하(%),13~19세(%),20~24세(%),25~29세(%),30~39세(%),40~49세(%),50세 이상(%),2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10
중국집,63.27,36.72,40~49세,0.05,3.84,6.95,9.57,25.06,36.32,18.18,272300,278000,285300,287500,302500,286600,319000,312200,338200,355100,334200,358900,322400,337100,374800,331000,332300,325500,361200,341000,361300,369400,356800,358500,311600,341500,326300,388200,350200,325300,350300,337700,344300,369900,373100,335100,313700,306300,349500,300400,325100,298400,328900,310100,308600,331100,282800,352600
굽네치킨,45.32,54.67,,0.08,4.61,8.04,10.22,23.58,30.89,22.55,513600,609500,650300,545600,586300,461800,455600,453300,588900,521100,397600,453800,583000,522800,570500,573700,405100,365900,475600,444000,461800,504000,406000,449200,409900,443700,461900,410600,452700,350300,318500,310700,348700,355500,311300,322900,351500,382700,319000,268200,285400,254300,284100,268900,386200,354200,301700,303800
엽기떡볶이,24.53,75.46,,0.36,18.93,16.04,13.96,20.4,21.59,8.68,189300,202700,219700,213370,219000,186200,182690,193300,232900,236000,215800,259700,259600,250500,254800,228600,233000,217900,236100,224000,413900,379100,314700,299000,257600,279700,354500,308100,281700,266900,255200,228700,270100,263400,269200,253200,654700,253000,281400,235700,242600,233400,302700,253100,292800,299400,280300,326900
마라탕 먹방,7.71,92.28,"12세 이하, 13~19세",18,19.42,6.57,4.28,16,32.28,3.42,550250,550190,673210,673210,550230,550320,550350,673380,823470,1000510,673510,673680,550630,550620,673540,550530,368610,450770,450690,368860,450860,301710,246760,246680,165680,301670,368820,301820,246670,201790,165700,201850,201920,202150,202040,247130,247150,247180,451180,368980,302020,301940,301990,247060,302380,302340,247280,247200
피자스쿨,44.88,55.11,,0.09,9.13,13.33,15.81,25.4,24.04,12.16,353900,395200,380800,382600,415800,353400,362300,394100,433900,426300,356200,391200,389600,400000,371700,328200,329100,328900,363200,341500,343900,340900,301600,325300,303600,360200,321300,305300,297300,281300,295200,276100,282200,281200,263300,278400,280300,341800,311300,261300,281500,273600,295500,287300,297100,320100,279100,313200
bhc,40.53,59.46,,0.37,15.86,15.8,13.65,23.14,23.42,7.73,515200,629300,465000,448300,477400,406500,423800,390800,461000,466100,403200,419400,499900,499700,462400,382100,388500,396500,403200,361500,407500,422900,375200,383000,385200,428800,331800,314100,287400,272200,291100,274100,289700,281500,245600,393400,268300,280400,300500,231600,303600,275800,337000,285400,309000,321400,281900,292900
피자헛,42.12,57.87,40~49세,0.06,2.35,4.3,8.31,27.71,37.07,20.17,389600,816200,635100,542700,1464100,494600,430400,432000,522800,487300,438900,411500,461500,591200,473200,349700,386600,547700,467100,381500,409400,406600,308300,393600,434000,509900,399600,360600,357100,331900,371400,357500,478400,314400,274400,260800,379800,336100,324900,250500,261800,256600,254100,247700,294300,366600,270800,240400
60계치킨,37.51,62.48,40~49세,0.12,4.36,5.87,7.45,21.77,37.43,22.96,222000,337200,386100,300000,353700,284500,258500,232900,236800,225400,189830,210500,289500,367700,291600,300300,325400,261900,290100,303700,369600,358400,324600,322300,292500,383100,379500,324300,316700,273700,294800,311300,327500,310900,282500,273500,254400,315700,290700,272400,320800,252900,265300,247600,292100,320400,255600,254900
떡볶이,30.96,69.03,,0.33,8.37,9.63,10.14,25.27,33.91,12.32,371600,390900,378700,373700,399300,361000,340600,366200,374500,389400,342200,372300,360400,363600,375600,338100,367700,333900,343800,304900,326300,331000,321000,335700,306900,313300,339900,295900,311300,304100,303400,286500,313800,306700,302500,299900,282200,270500,275100,231200,243400,233500,258200,231000,227200,238700,218900,257700
배달의민족,42.36,57.63,,0.38,4.84,6.2,8.86,22.63,29.13,27.92,326200,382800,356600,316000,361700,320400,277200,266700,296300,275600,292300,265600,304000,287900,272800,231500,264500,245900,272500,223700,250700,239500,211700,212900,219200,262500,250400,213100,237700,237900,251700,266800,334700,268300,240600,247600,236600,209700,230800,235200,243100,251500,342700,242900,270300,233400,209000,218600
삼겹살,49.69,50.3,,0.09,4.21,10.28,13.44,31.07,28.91,11.96,229900,208600,208400,210600,315300,275400,319400,283800,282700,294300,255000,267400,229300,243700,252000,255600,343200,261500,273200,249900,260900,254700,248200,251300,232200,233900,244600,266000,302500,271300,272900,248300,246800,245900,228500,247700,233500,213400,230100,221700,266400,227400,232600,227100,237700,238100,222200,243600
피자,46.03,53.96,,0.24,6.86,9.05,10.39,24.22,32.07,17.14,244500,277900,258100,253200,265300,245100,262000,270700,282100,286600,232000,260400,261600,274100,259800,242300,249200,253800,276300,262700,270800,275700,238500,243400,245700,265400,239900,242300,233300,240200,261400,250100,312200,256000,240000,231300,229500,247100,242800,198400,211900,212600,254500,228400,238800,249200,221100,227300
이재모 피자,34.65,65.34,,0.08,5.84,10.08,15.34,30.44,26.82,11.37,20340,26550,25690,21170,16730,21470,32490,43200,63170,105150,53080,72430,60360,83400,97830,94370,74940,73690,83870,94080,128320,174500,152200,143200,126000,210100,228700,219900,152500,170100,188200,179500,220200,256100,154700,91180,151800,204600,278800,240000,185700,154800,194200,188000,240100,319100,214800,292900
bbq,51.51,48.48,,0.17,10.44,14.98,15.24,26.8,23.96,8.37,232300,288900,255300,317900,355900,308800,259900,229800,261700,292700,215700,214000,290700,254400,233400,198700,206300,213400,228500,216500,245600,253100,232300,265300,254100,304800,296300,271700,270300,250600,283300,232900,237800,215900,308300,213400,179600,194400,239200,181700,199800,165000,461300,202500,228600,211800,192900,201100
돈까스,44.43,55.56,,0.09,6.81,10.33,12.42,31.22,29.44,9.65,178150,166300,190800,175950,200000,200500,219900,205020,215300,216500,187500,218700,201000,205200,239300,250200,260600,220900,262800,244200,242500,268900,255700,268100,227100,238800,260000,234100,251300,237900,235500,225700,244800,241600,225800,224000,201100,211200,224400,206100,222900,201300,210400,217400,221400,225500,205800,215900
쿠팡이츠 사장님,55.64,44.35,,0,0.13,2.26,9.67,39.31,28.31,20.3,35230,36740,54420,36040,36300,35680,34560,29330,42720,35170,29880,30980,32160,37900,46840,31030,38440,38320,39560,42360,61250,59540,60190,62500,61800,73470,90900,72530,88590,95600,110600,96600,120700,112500,108640,112300,162700,216700,242500,220900,226200,223000,221000,214400,229600,184700,203200,206200
국밥,54.49,45.5,,0.07,8.54,15.24,16.82,30.24,23.04,6.03,165720,150050,146810,127070,154570,162300,180750,181940,179580,202880,192820,227270,185920,201590,217070,177020,195100,196380,210030,189610,188110,213190,215290,233300,217420,222310,231980,200560,213940,213980,209550,214000,203490,215090,219260,229360,214150,221980,230700,195610,206060,182050,206660,187380,192720,212510,203290,239690
맛있는집,34.51,65.48,50세 이상,0.04,3.18,5.19,8.06,17.3,31.6,34.6,167540,167670,167300,137040,137340,167500,203790,167420,203830,203980,167900,204470,204380,205720,204220,204260,204650,204650,204510,204140,250080,249680,204770,204740,204320,249240,249180,248840,249410,453090,304110,305500,305600,306880,249310,249250,248850,204270,204130,204330,204770,203820,203590,167380,203640,203910,167500,203580
bbq 치킨,43.11,56.88,40~49세,0.09,4.81,7.18,8.47,18.9,37.07,23.44,209200,277500,243700,295500,326300,276800,242900,217600,260300,245400,187490,202800,287500,257200,220620,191700,186230,188630,217670,200990,227700,227800,197950,232600,227600,275300,269500,235700,226100,205600,230700,197740,216600,204480,268700,196600,179340,203900,233900,174290,190440,154700,310100,166830,216100,208000,174100,176630
맛있는 국밥집,49.07,50.92,50세 이상,0,5.55,4.62,12.96,12.03,27.77,37.03,165052,165053,165062,135063,135052,165059,201033,165041,201032,201075,165070,201105,201061,201075,201056,201061,201063,201064,201032,201042,246056,246077,201054,201062,201076,246078,246068,246055,246064,450066,301063,301077,301076,301060,246072,246068,246064,201074,201070,201075,201079,201140,201108,165069,201104,201114,165084,201140
맛있는 삼겹살집,30,70,50세 이상,0,7.5,7.5,7.5,17.5,30,30,165032,165034,165032,135040,135051,165062,201066,165044,201043,201057,165043,201036,201020,201041,201043,201043,201056,201039,201046,201024,246046,246046,201013,201035,201047,246035,246046,246047,246055,450033,301022,301025,301022,301037,246022,246025,246033,201033,201033,201037,201033,201044,201040,165044,201044,201054,165075,201048
맛있는 곱창집,,,,,,,,,,,165033,165040,165020,135042,135044,165043,201032,165021,201033,201041,165021,201054,201042,201030,201032,201022,201011,201021,201031,201011,246042,246021,201022,201022,201033,246012,246032,246024,246022,450031,301010,301011,301010,301033,246022,246021,246010,201033,201010,201030,201015,201022,201021,165042,201024,201031,165041,201021
부대찌개,44.85,55.14,,0.05,4.95,8.93,11.82,26.88,32.66,14.68,209100,209300,212160,184790,217070,191060,198540,203320,210200,225700,209200,238200,218500,232300,236600,215500,228100,209600,215120,237600,216300,218700,212800,241000,212800,234500,239100,207100,229700,203600,208300,192240,199100,228400,211300,219300,221200,209200,215700,191500,204700,171100,194600,178900,181500,193700,194000,210700
닭갈비,37.89,62.1,,0.08,6.49,9.5,10.93,24.54,32.09,16.33,176400,172100,184980,174160,191300,185500,212000,205300,228200,228600,219200,267200,239600,220400,225500,239200,245400,220200,242500,227100,229400,231500,213200,230700,197800,205140,215400,201200,220700,218100,232200,235400,233000,240900,201400,205300,179700,179700,189120,187790,200800,177200,199200,201400,200200,210600,173800,191930
프랭크버거,42.06,57.93,,0.11,9.42,12.7,13.38,25.82,26.01,12.52,138200,158600,194600,194600,233900,256100,270800,280100,342600,363200,306200,310700,272800,262300,279400,378400,390000,302400,307900,324100,298800,271700,239000,239100,211900,261800,287500,262000,248200,231400,273900,204500,209600,214300,230300,201200,200600,206600,192400,162900,174200,198300,224000,216700,185600,184900,170000,161100
던킨 도너츠,27.72,72.27,,0.15,11.06,11.6,10.33,22.45,31.03,13.35,216000,273100,235800,226100,215200,250800,288700,275000,268700,250100,240900,225600,183900,252500,217500,186510,204500,191200,228600,200500,191900,192100,179200,173090,181100,236400,184200,171350,160600,160100,165100,198500,171500,176700,176600,275500,207200,227000,200500,174300,164600,179500,175200,164300,157600,191400,158900,216200
노랑통닭,49.45,50.54,,0.08,5.37,7.76,9.05,23.36,34.91,19.44,265700,271500,219000,208100,233600,281600,288800,257300,246400,244000,193260,193920,243800,204100,188390,162020,181700,172660,256100,227800,207500,188100,162650,170770,162900,195000,225700,212400,191000,172200,177400,185300,180800,169860,151840,179900,187500,172600,169490,153380,167710,209800,200100,193500,189000,164330,181500,203300
햄버거,50.98,49.01,,0.31,7.71,12.36,12.64,25.94,28.53,12.48,158400,153020,158600,141910,172040,169340,177730,174680,186860,192680,160500,168800,159600,144530,160940,156790,183400,174200,188800,193700,185900,180400,167690,169110,169300,159670,165900,166560,169400,196300,237500,194800,217000,191100,188500,201500,165100,155400,169640,151250,179100,177000,223100,200500,184700,186400,183900,177870
크리스피 도넛,28.51,71.48,,0.09,10.89,15.42,12.74,24.16,26.95,9.73,173050,205700,242400,220200,207600,175020,173780,166680,172240,178730,165830,189090,181100,245300,214870,202900,315900,257100,164990,151860,194110,248500,211900,195320,178600,197100,188300,195000,188400,179700,190500,161130,155200,161680,155400,169070,145590,289000,151010,161800,196600,159900,173100,182500,176900,194900,165700,150940
쿠팡이츠,43.58,56.41,,0.16,2.97,4.69,8.22,24.87,31.02,28.03,271300,315300,319000,214500,203400,176500,134600,105600,115600,93800,103300,95500,104800,109000,109800,82800,82200,76400,80200,84400,104900,105000,100000,115300,110900,128400,161800,112800,277300,213800,176700,167300,210000,200300,180500,180100,182200,185300,196100,191400,185300,185600,163100,167000,186600,167300,159900,163900
신전떡볶이,26.77,73.22,,0.29,14.22,13.31,12.42,22.27,26.79,10.66,245800,281200,326700,311800,311900,259600,283700,267100,280200,283900,254400,256700,246600,239800,259400,223800,230800,220700,242700,218600,229400,247000,225500,225400,190900,193100,219100,215300,199000,196800,208500,190000,194300,196000,196700,190100,172800,170600,175600,154820,165380,177400,165060,156550,162600,172660,161900,209500
맘스터치 메뉴,41.7,58.29,,0.23,8.08,10.35,11.04,21.54,28.71,20.01,235400,255800,253800,218500,254700,227200,231300,227600,255900,263100,213100,204200,244200,210900,200700,192800,215300,208800,196100,178700,176000,174700,155200,163900,159900,164800,157900,142800,157500,172400,166900,156600,162300,169000,161100,167200,147900,150300,150700,160000,177000,182900,173500,162000,179200,173200,164900,163300
배달의민족 사장님,47.4,52.59,,0.02,0.22,2.5,10.06,40.22,29.45,17.51,72970,73380,89670,71790,71320,71920,71440,61770,74390,75090,75200,76210,77130,77040,96910,64710,79430,78020,77210,66830,81950,66330,65390,65910,80160,92670,96840,75890,77080,55450,55470,63510,80630,73720,73610,86970,126000,142500,179900,161600,156700,150200,137300,146700,213400,170200,166100,168500
스텔라 떡볶이,28.42,71.57,40~49세,0.53,6.27,5.16,6.66,23.25,40.48,17.62,2230,1380,8930,8390,17030,20810,32320,42020,52250,48940,38110,51230,56590,73700,61010,56160,72030,87250,101720,101290,101440,169840,171450,158690,235990,171120,230830,211010,228980,173760,196670,162750,191560,192810,159300,324100,189700,196250,238220,193420,191470,174380,145510,101930,129480,134860,97280,93590
롯데리아 메뉴,40.08,59.91,,0.31,6.69,9.4,11.69,26.43,27.1,18.34,154100,186200,187800,182600,212000,181700,185900,183400,226200,218900,181600,166400,144000,150500,159600,162900,155100,154700,166300,159900,172000,177700,156400,143300,131700,149800,145500,139300,141300,141200,142900,154000,166100,172300,156900,156500,133000,144400,171100,135500,148500,152000,168000,160600,173200,194200,157200,146200
족발,54.65,45.34,,0.09,4.71,8.89,10.4,23.32,33.75,18.81,164120,182950,179500,175570,188740,174100,195810,205970,220640,214160,157490,185310,168220,199790,189000,178880,191130,188470,223850,213450,205440,207200,172180,182330,182700,216200,219400,187330,187200,170900,183700,185100,200200,197400,160820,156020,149520,152360,166900,135760,151420,145420,147830,158050,175300,174790,145380,146650
치킨 먹방,31.45,68.54,12세 이하,9.67,15.32,10.48,7.25,16.93,29.03,11.29,301320,368360,368280,368260,368340,301300,301290,301260,301290,368250,246230,246280,201280,201240,246330,201250,201230,165290,165330,165280,165290,165290,135240,135260,110280,135270,135280,110280,110270,135290,110320,90750,110310,135230,110260,165280,165280,165340,201310,165300,135270,135270,135300,165280,165280,135340,135380,135390
노모어피자,35.67,64.32,,0.07,6.57,11.13,13.06,25.86,28.24,15.03,,,,,,,,,,,,,,26150,18680,13450,25780,48460,59910,51230,66160,64470,158500,228900,133700,190000,140300,130900,121100,219600,384200,270800,190800,274200,172600,189300,140300,143800,141100,124400,119200,107900,169000,220800,246600,167800,110000,120800
자담치킨,42.73,57.26,,0.09,4.21,7.35,10.41,26.58,32.84,18.48,188200,246700,251900,235000,223800,176400,176900,180600,191000,182900,154070,150190,190600,164200,161260,145770,161900,167400,155200,191400,184800,185400,136680,151140,127550,157530,165100,135740,149400,111460,112870,130710,162700,145360,139870,132390,121240,146300,154290,129230,137900,201800,133470,157300,157100,146410,105620,133970
버거킹 메뉴,39.75,60.24,,0.21,6.46,9.31,12.52,27.28,24.7,19.48,160700,189800,231100,216600,233700,196900,197500,186500,209300,220400,188800,173700,153700,171200,189600,173300,175000,170800,171800,168000,178200,171500,145400,136900,124800,149900,145900,145200,141000,162900,153500,144500,153000,167300,150000,150600,131600,144500,149700,125600,130300,125800,141300,145600,155000,157100,138100,136900
짜장면,43.94,56.05,,0.31,11.93,13.41,11.18,22.9,26.82,13.41,127440,143560,148280,148840,152740,138840,141540,157460,145760,146480,142550,151650,128620,128730,141990,152100,152540,161210,139870,143700,162230,143040,154500,155870,135030,148450,150860,154500,155750,151450,153610,169880,168760,167370,140190,148460,144860,157700,149990,130910,132730,144690,147950,144730,128640,133210,121740,133760
콩나물국밥,40.22,59.77,40~49세,0.04,5.07,6.97,7.76,20.54,36.7,22.89,144710,112650,125690,103380,116520,105870,113690,114320,113250,127670,119600,151490,131520,154520,162390,132220,129060,131550,130980,111310,115240,128080,141340,155860,136430,147220,154650,131650,132080,121510,123220,111390,111660,132320,139480,145630,131310,140340,168060,127000,130420,119270,130250,127400,124720,145960,131170,168980
푸라닭,41.49,58.5,,0.11,8.5,11.89,12.74,27.62,26.83,12.28,302400,416100,332600,307600,307200,238200,234300,250700,287600,307300,243100,229900,300900,303400,228300,190700,199800,178900,191600,182600,181300,164400,171600,234000,166900,188200,170100,195500,183900,131400,126500,134300,159500,153600,131160,121990,116860,129300,156300,144900,135800,99810,144300,154200,137100,151100,97950,117200
la갈비,34.37,65.62,50세 이상,0.03,1.12,2.86,7.42,24.07,30.38,34.08,63690,83830,431600,109500,77920,75540,65600,56760,82740,261500,374200,74580,73230,113470,549800,90560,75690,73740,86590,69410,72900,89430,455400,116700,63270,85950,214800,297100,74120,59010,56660,50840,63940,134800,417600,62330,58380,120500,457100,79540,61270,54930,49650,47540,57010,70060,291200,191500
홍익돈까스,38.06,61.93,,0.13,6.4,7.91,10.02,24.73,31.89,18.88,105730,108060,124270,120580,133210,140440,157730,151600,165820,181590,158470,163650,136840,144430,169290,170440,169650,163370,172540,152740,153950,173510,161570,168690,135580,154400,162430,154650,152230,132790,137140,128570,137060,155720,140560,127780,106930,127730,149420,130300,129530,110550,122560,119100,127470,142510,117430,137910
자 담 치킨,42.73,57.26,,0.09,4.21,7.35,10.41,26.58,32.84,18.48,173410,228610,229710,212810,205710,161610,162110,165810,176210,168130,141970,138100,178510,152110,149170,133680,149810,152610,143110,173310,170010,167310,124590,139040,115460,142730,150310,123650,134610,99360,100770,115910,144610,130570,125070,117600,106450,128200,136190,111130,119810,168710,118680,135100,139010,131620,95730,119180
갈비탕,43.5,56.49,,0.04,2.49,5.5,8.69,24.9,34.56,23.78,118400,125080,137230,113380,130860,111290,112420,114660,129240,153510,136380,159410,137930,169670,183560,132870,137440,132920,131890,121960,131350,139450,145680,134180,148290,149180,152670,135440,131470,119560,117500,111930,139830,144700,147830,136220,121930,127660,153670,109440,113630,108180,121020,109530,125540,131250,130000,144170
양꼬치,45.24,54.75,,0.03,5.94,14.99,15.55,29.24,25.24,8.99,102520,92950,102680,86990,97640,116410,132480,127880,131130,123020,118860,128420,113530,120090,133760,121150,133760,125140,136470,118470,122050,123940,121830,119980,102480,108980,111190,108270,118110,130170,123750,114010,115320,116590,123680,117910,111270,116990,126960,114460,124590,114290,135560,124420,130480,135950,118840,131990
곱창,40.31,59.68,,0.1,8.1,13.74,14.66,27.54,26.21,9.61,169800,185900,175430,165200,200800,169600,186300,191890,196620,208300,186220,239700,227100,190820,188410,157030,157110,148970,152850,141600,162580,165800,150300,144620,132530,138710,144590,140390,144300,150280,148920,138230,137620,131300,120550,122650,109310,112010,126300,122290,125270,120690,127730,119430,117820,124490,112290,117920
콩 나 물 국밥,40.22,59.77,40~49세,0.04,5.07,6.97,7.76,20.54,36.7,22.89,122510,94550,103490,85280,98420,91070,98890,99520,98450,112870,107500,136690,116720,136420,147590,117420,114260,116750,116180,99210,103140,113280,123240,137760,118330,129120,132450,113550,113980,106710,105120,96590,96860,114220,124680,127530,113210,122240,145860,108900,112320,101170,112150,109300,109920,127860,113070,150880
돼지갈비,44.31,55.68,40~49세,0.04,1.45,3.85,7.39,26.65,36.72,23.85,94170,97160,136940,92090,115850,124490,148070,123590,153680,163420,133550,122350,118100,140010,169410,129970,139600,127630,131890,113950,123820,137450,160150,109750,105050,120160,144580,155180,125420,112030,124850,113180,122390,132210,139750,105390,96700,107150,143730,97380,117810,106660,117820,110040,116280,128970,120210,115730
엽떡 먹방,15.15,84.84,12세 이하,21.21,18.18,12.12,16.66,15.15,16.66,0,135068,201050,301080,301080,246070,201090,201060,201060,246080,301090,201080,201100,165120,165090,201090,135100,135120,135090,135110,110100,110100,60580,110090,74080,27210,33170,33190,27200,27180,33190,33190,33170,74110,90620,74100,110110,110170,110120,135120,110190,110160,110150,110170,110180,135180,135170,90690,74160
땅스 부대찌개,41.32,58.67,40~49세,0.05,2.5,4.78,8.67,27.57,40.16,16.23,86320,95560,98840,90830,98870,82600,83480,89520,93010,105600,85390,97030,88010,92290,94360,80110,92080,96350,97910,106390,103540,103250,92830,96880,89780,92070,94850,87910,84820,83620,88670,84950,129260,104830,97150,99960,88370,92520,93810,79510,126500,114340,118910,107030,137980,142320,109270,128610
돼지갈비찜,19.17,80.82,50세 이상,0,0.3,1.07,3.26,16.83,28.31,50.19,127180,147290,297000,131070,141220,129040,118290,115750,118350,139080,220910,123910,105130,131250,238230,96650,107150,115220,112280,95000,102120,114710,214420,90290,89990,113360,139890,195270,97540,86460,85700,91080,116140,121660,187260,84970,95570,109660,227810,78880,84410,77440,85200,83740,83390,87870,103440,134410
갈비찜,28.19,71.8,50세 이상,0.02,1.59,4.04,7.18,20.61,28.13,38.39,68260,74980,135510,68820,63230,66800,67680,59960,68920,92830,127660,106760,105370,121450,262400,92360,98010,93950,100700,90300,95870,105450,236400,99270,86500,102270,129880,195210,89750,79110,85620,77850,112220,123390,208000,82430,76300,87910,202740,74070,73720,72330,75570,72220,75330,83060,120520,146260
깐부치킨,58.61,41.38,,0.02,2.07,5.77,11.86,30.32,29.33,20.6,114320,83260,70870,53370,58150,60050,73080,74180,72660,64260,61690,59910,79560,63900,54830,52590,59810,61640,65400,64740,64080,61810,57120,61420,48800,54550,54850,49740,54060,48900,50220,51600,51500,54070,47480,45280,40430,42390,41070,39720,41700,42630,52760,52940,56130,51830,45230,628900
도미노피자 50% 할인,40.43,59.56,50세 이상,0.01,0.82,3.37,7.14,18.4,31.78,38.45,88540,222260,141800,215560,195990,149150,114340,102350,104720,156270,85350,78910,77030,124930,95370,74670,75250,94180,70070,75480,104560,88800,67340,119510,70690,110030,103060,79550,88050,74500,88570,93070,75980,88280,64900,105560,54730,65820,63160,49070,52210,63850,46860,48020,68520,224880,86110,49320
피자먹다,38.5,61.49,,0.23,11.43,10.44,11.7,26.33,28.97,10.86,1150,2950,2800,3040,5770,6810,7650,11500,14270,11810,11880,15440,15300,14500,11280,25080,35560,16720,18350,16730,14400,19040,19390,15630,16470,15090,15120,14610,16450,17850,18230,24160,19310,13650,12450,14210,11930,10480,11080,10540,10980,11000,10970,9970,9180,11160,334000,9980
